SIGUNGU_CD,SIGUNGU_NM,CURRENT_VISITOR,NORMAL_VISITOR,NORMAL_COMPARE,CONGESTION_SCORE,ABSOLUTE_SCORE,CONGESTION_LEVEL
28177,미추홀구,312986.97,311469.68249438994,0.5,50.5,28.6,보통
28185,연수구,341228.62,359680.87490147265,-5.1,44.9,31.2,보통
28200,남동구,361514.57,365206.31218863954,-1.0,49.0,33.1,보통
28237,부평구,354222.21,353448.51503681624,0.2,50.2,32.4,보통
28245,계양구,196550.53,204259.0483537868,-3.8,46.2,17.7,보통
28260,서구,478203.82,489751.5380357644,-2.4,47.6,44.0,보통
28710,강화군,79811.41,92078.94219810658,-13.3,36.7,6.8,여유
28720,옹진군,22968.94,28075.115214586254,-18.2,31.8,1.5,여유
29110,동구,165473.1,156610.31499824685,5.7,55.7,14.8,보통
29140,서구,346705.04,323329.5205894109,7.2,57.2,31.7,보통
29155,남구,125491.07,114574.82875140251,9.5,59.5,11.0,보통
29170,북구,389234.59,372902.0755308555,4.4,54.4,35.7,보통
29200,광산구,375100.28,357518.8064761571,4.9,54.9,34.4,보통
30110,동구,205669.35,205067.1213671108,0.3,50.3,18.5,보통
30140,중구,257417.62,243874.117477209,5.6,55.6,23.4,보통
30170,서구,454472.05,430046.2852251052,5.7,55.7,41.8,보통
30200,유성구,389536.46,401123.8114158485,-2.9,47.1,35.7,보통
30230,대덕구,148225.71,149795.41725596075,-1.0,49.0,13.2,보통
31110,중구,177096.78,169259.24628366058,4.6,54.6,15.9,보통
31140,남구,354021.2,328545.7188341515,7.8,57.8,32.4,보통
31170,동구,125384.62,124421.03874789622,0.8,50.8,11.0,보통
31200,북구,185735.42,187390.8161125526,-0.9,49.1,16.7,보통
31710,울주군,235462.16,231812.05113008412,1.6,51.6,21.3,보통
36110,세종특별자치시,285612.81,290862.6435669706,-1.8,48.2,26.0,보통
41110,수원시,1077820.32,1073355.9679375875,0.4,50.4,100.0,보통
41111,수원시 장안구,265052.74,263111.1507640252,0.7,50.7,24.1,보통
41113,수원시 권선구,272075.53,270317.03798036464,0.7,50.7,24.7,보통
41115,수원시 팔달구,321572.65,312762.99858941097,2.8,52.8,29.4,보통
41117,수원시 영통구,326816.85,330801.0164312763,-1.2,48.8,29.8,보통
41130,성남시,888621.39,913560.5664582748,-2.7,47.3,82.3,보통
41131,성남시 수정구,221082.05,227613.3792987377,-2.9,47.1,20.0,보통
41133,성남시 중원구,139757.1,143113.39795862552,-2.3,47.7,12.4,보통
41135,성남시 분당구,563222.83,577648.6336290323,-2.5,47.5,51.9,보통
41150,의정부시,347896.0,351408.68247124826,-1.0,49.0,31.8,보통
41170,안양시,453781.07,460643.67965778406,-1.5,48.5,41.7,보통
41171,안양시 만안구,179787.74,186956.8835073633,-3.8,46.2,16.1,보통
41173,안양시 동안구,283207.27,282795.2788292426,0.1,50.1,25.8,보통
41190,부천시,677445.41,671746.1723138149,0.8,50.8,62.6,보통
41192,부천시 원미구,426599.89,418174.7393106592,2.0,52.0,39.2,보통
41194,부천시 소사구,174547.1,173192.43227629733,0.8,50.8,15.6,보통
41196,부천시 오정구,109644.95,112810.26076507714,-2.8,47.2,9.6,보통
41210,광명시,231606.53,238378.82907152877,-2.8,47.2,21.0,보통
41220,평택시,430289.96,446393.5685813464,-3.6,46.4,39.5,보통
41250,동두천시,75487.46,77079.19850771388,-2.1,47.9,6.4,보통
41270,안산시,496472.36,505872.4704221599,-1.9,48.1,45.7,보통
41271,안산시 상록구,189324.23,192471.6100192847,-1.6,48.4,17.0,보통
41273,안산시 단원구,325769.0,331201.53017180925,-1.6,48.4,29.7,보통
41280,고양시,876987.08,914517.6024863254,-4.1,45.9,81.2,보통
41281,고양시 덕양구,373599.2,397187.0871395512,-5.9,44.1,34.2,보통
41285,고양시 일산동구,311163.63,316776.4911009818,-1.8,48.2,28.4,보통
41287,고양시 일산서구,233560.94,243329.53599929877,-4.0,46.0,21.1,보통
41290,과천시,95981.61,111251.78820231416,-13.7,36.3,8.3,여유
41310,구리시,242719.36,253419.3305971248,-4.2,45.8,22.0,보통
41360,남양주시,509766.08,532394.3415518934,-4.3,45.7,46.9,보통
41370,오산시,202688.34,207407.7172482469,-2.3,47.7,18.2,보통
41390,시흥시,335347.87,356982.93401823286,-6.1,43.9,30.6,보통
41410,군포시,205275.07,207316.9499042777,-1.0,49.0,18.5,보통
41430,의왕시,129503.93,143676.88730364657,-9.9,40.1,11.4,보통
41450,하남시,314081.42,327698.3820718794,-4.2,45.8,28.7,보통
41460,용인시,865772.38,896520.2966469144,-3.4,46.6,80.2,보통
41461,용인시 처인구,256307.37,272200.86585448805,-5.8,44.2,23.3,보통
41463,용인시 기흥구,372148.51,383354.3962650772,-2.9,47.1,34.1,보통
41465,용인시 수지구,259678.08,264240.5010252454,-1.7,48.3,23.6,보통
41480,파주시,344435.0,363638.08581872366,-5.3,44.7,31.5,보통
41500,이천시,219840.73,227981.3414221599,-3.6,46.4,19.9,보통
41550,안성시,193299.3,209283.86330329592,-7.6,42.4,17.4,보통
41570,김포시,392918.66,415818.5534309257,-5.5,44.5,36.0,보통
41590,화성시,718435.21,759882.018807153,-5.5,44.5,66.4,보통
41610,광주시,304518.34,323404.3546732118,-5.8,44.2,27.8,보통
41630,양주시,228201.51,242204.9155687237,-5.8,44.2,20.6,보통
41650,포천시,138087.3,149977.9004326788,-7.9,42.1,12.2,보통
41670,여주시,121398.43,134811.10871143057,-9.9,40.1,10.7,보통
41800,연천군,43427.62,47018.35759957924,-7.6,42.4,3.4,보통
41820,가평군,94961.27,101708.4059663394,-6.6,43.4,8.2,보통
41830,양평군,135816.52,149606.61148106592,-9.2,40.8,12.0,보통
43110,청주시,664569.77,659765.2307275597,0.7,50.7,61.4,보통
43111,청주시 상당구,175584.46,171998.0444004208,2.1,52.1,15.7,보통
43112,청주시 서원구,146173.85,140567.84856030854,4.0,54.0,13.0,보통
43113,청주시 흥덕구,239605.05,237839.8375213885,0.7,50.7,21.7,보통
43114,청주시 청원구,163672.44,164362.74062342217,-0.4,49.6,14.6,보통
43130,충주시,231578.02,241564.6607601683,-4.1,45.9,20.9,보통
43150,제천시,98773.87,102983.04061991585,-4.1,45.9,8.5,보통
43720,보은군,38725.67,39909.33147896213,-3.0,47.0,2.9,보통
43730,옥천군,61295.2,64559.10513499299,-5.1,44.9,5.0,보통
43740,영동군,44170.43,46307.65229417953,-4.6,45.4,3.4,보통
43745,증평군,40677.07,42171.82830259467,-3.5,46.5,3.1,보통
