SIGUNGU_CD,SIGUNGU_NM,CURRENT_VISITOR,NORMAL_VISITOR,NORMAL_COMPARE
41800,연천군,43427.62,47018.35759957924,-7.6
41820,가평군,94961.27,101708.4059663394,-6.6
41830,양평군,135816.52,149606.61148106592,-9.2
43110,청주시,664569.77,659765.2307275597,0.7
43111,청주시 상당구,175584.46,171998.0444004208,2.1
43112,청주시 서원구,146173.85,140567.84856030854,4.0
43113,청주시 흥덕구,239605.05,237839.83752138852,0.7
43114,청주시 청원구,163672.44,164362.74062342217,-0.4
43130,충주시,231578.02,241564.6607601683,-4.1
43150,제천시,98773.87,102983.04061991585,-4.1
43720,보은군,38725.67,39909.33147896213,-3.0
43730,옥천군,61295.2,64559.10513499299,-5.1
43740,영동군,44170.43,46307.65229417953,-4.6
43745,증평군,40677.07,42171.82830259467,-3.5
43750,진천군,67841.0,72290.55037517531,-6.2
43760,괴산군,38597.0,45905.83745617111,-15.9
43770,음성군,93294.87,103692.33809081346,-10.0
43800,단양군,38313.03,39125.96712447406,-2.1
44130,천안시,483778.55,490704.08983239834,-1.4
44131,천안시 동남구,252041.19,257776.81402559608,-2.2
44133,천안시 서북구,256203.95,255613.65074929874,0.2
44150,공주시,98551.5,110567.92443057505,-10.9
44180,보령시,114034.13,118501.86158134643,-3.8
44200,아산시,271024.2,285535.85067215987,-5.1
44210,서산시,141094.05,145633.0955403226,-3.1
44230,논산시,105366.13,109335.64790638148,-3.6
44250,계룡시,38814.35,37990.482017531554,2.2
44270,당진시,154362.94,167470.51697650773,-7.8
44710,금산군,50584.61,58151.33975140253,-13.0
44760,부여군,70167.46,72765.70287237027,-3.6
44770,서천군,57466.74,61843.25208380084,-7.1
44790,청양군,27651.46,26723.545282608695,3.5
44800,홍성군,83518.57,86018.33306136045,-2.9
44810,예산군,85634.5,88314.18992847124,-3.0
44825,태안군,77735.76,83713.08059642356,-7.1
46110,목포시,266501.18,252274.71721633943,5.6
46130,여수시,247819.8,235416.69843127628,5.3
46150,순천시,252867.68,243754.99392145863,3.7
46170,나주시,115453.55,115061.279970547,0.3
46230,광양시,117635.95,114545.92093723702,2.7
46710,담양군,63376.9,68076.23338569424,-6.9
46720,곡성군,24308.03,25609.50529628331,-5.1
46730,구례군,27786.18,28488.254618162693,-2.5
46770,고흥군,48904.13,47470.89222545582,3.0
46780,보성군,38976.23,39745.25453436185,-1.9
46790,화순군,73120.18,73155.0522962833,-0.0
46800,장흥군,40477.55,40512.84508555399,-0.1
46810,강진군,36480.09,37040.50651086956,-1.5
46820,해남군,60564.7,60036.55946914446,0.9
46830,영암군,58497.31,61547.215824333805,-5.0
46840,무안군,108003.95,106542.36084852734,1.4
46860,함평군,25272.08,26790.313816970545,-5.7
46870,영광군,49196.34,51358.353740532955,-4.2
46880,장성군,43002.13,48233.33720511921,-10.8
46890,완도군,55821.76,53817.46725561009,3.7
46900,진도군,33793.65,33488.16388253857,0.9
46910,신안군,35721.64,40979.155424964934,-12.8
47110,포항시,455507.23,437393.99805294524,4.1
47111,포항시 남구,213984.02,206124.3861286816,3.8
47113,포항시 북구,271845.0,256847.04637587658,5.8
47130,경주시,311779.01,300952.86466234224,3.6
47150,김천시,120918.36,120831.11351402524,0.1
47170,안동시,166037.44,163981.23586500704,1.3
47190,구미시,291159.96,287268.3353148668,1.4
47210,영주시,97276.06,96667.44784186536,0.6
47230,영천시,86079.42,87245.71530925666,-1.3
47250,상주시,90963.31,93943.61822440394,-3.2
47280,문경시,63824.14,63655.55141760168,0.3
47290,경산시,207300.52,206541.4526802244,0.4
47730,의성군,43967.53,46410.27465883591,-5.3
47750,청송군,27568.76,29286.163304698453,-5.9
47760,영양군,11804.43,12914.955629032258,-8.6
47770,영덕군,58955.0,55060.05130224404,7.1
47820,청도군,47817.7,49214.44586325386,-2.8
47830,고령군,28930.57,31062.994145511922,-6.9
47840,성주군,43697.8,45207.268504558204,-3.3
47850,칠곡군,106691.06,107674.16061851333,-0.9
47900,예천군,48188.42,48776.075727559604,-1.2
47920,봉화군,21446.44,22615.71042531557,-5.2
47930,울진군,60051.49,57165.193673211776,5.0
47940,울릉군,7329.84,8574.968037868162,-14.5
48120,창원시,880554.68,851448.6095497897,3.4
48121,창원시 의창구,222210.44,214870.00427173913,3.4
48123,창원시 성산구,246061.11,240973.16851367464,2.1
48125,창원시 마산합포구,180490.33,175422.34772545582,2.9
48127,창원시 마산회원구,161383.94,146915.35280575036,9.8
48129,창원시 진해구,140350.44,135203.7116837307,3.8
48170,진주시,234874.96,230811.25222896214,1.8
48220,통영시,134367.01,123304.60259046285,9.0
48240,사천시,101943.21,101505.76461886396,0.4
48250,김해시,431078.06,418782.5036420056,2.9
48270,밀양시,104488.39,106043.35823106591,-1.5
48310,거제시,306700.88,294891.3887664797,4.0
48330,양산시,300369.4,291691.54010974756,3.0
48720,의령군,25997.45,27403.686819775598,-5.1
48730,함안군,60377.96,62904.42156065919,-4.0
48740,창녕군,57417.49,59077.64357082749,-2.8
48820,고성군,52333.83,56070.35449333801,-6.7
48840,남해군,52144.03,49336.273499999996,5.7
48850,하동군,34928.65,36229.96546528752,-3.6
48860,산청군,31333.26,34488.52444530154,-9.1
48870,함양군,46303.03,46957.1266171108,-1.4
48880,거창군,55812.99,55932.10491129033,-0.2
48890,합천군,38630.73,40099.789911290325,-3.7
50110,제주시,658666.64,629632.491306101,4.6
50130,서귀포시,273390.79,271879.47689446004,0.6
51110,춘천시,298712.22,304491.7061697055,-1.9
51130,원주시,329111.4,336087.76724298735,-2.1
51150,강릉시,291535.56,277927.31307293125,4.9
51170,동해시,105167.99,100669.9184877279,4.5
51190,태백시,50673.58,49872.51828506311,1.6
51210,속초시,155567.95,140629.89038674615,10.6
51230,삼척시,75178.77,75225.5217331697,-0.1
51720,홍천군,101873.23,101410.9706237728,0.5
51730,횡성군,49838.58,55296.726336255255,-9.9
51750,영월군,32779.33,35213.26159431978,-6.9
51760,평창군,93445.83,85281.92773352034,9.6
51770,정선군,58058.86,54891.84481065919,5.8
51780,철원군,41276.37,43570.746537868166,-5.3
51790,화천군,33205.06,29865.353697755956,11.2
51800,양구군,22386.54,23498.084565918656,-4.7
51810,인제군,38529.7,42079.30675666199,-8.4
51820,고성군,58434.63,54307.60465007013,7.6
51830,양양군,66830.13,65194.29064656381,2.5
52110,전주시,597420.2,570899.4536048387,4.6
