SIGUNGU_CD,SIGUNGU_NM,CURRENT_VISITOR,NORMAL_VISITOR,NORMAL_COMPARE,CONGESTION_SCORE,ABSOLUTE_SCORE,CONGESTION_LEVEL
11110,종로구,465896.23,522001.4532531557,-10.7,39.3,86.97901757787359,여유
11140,중구,500280.32,559315.4871420057,-10.6,39.4,98.51889891373588,여유
11170,용산구,409426.42,448983.8543979664,-8.8,41.2,86.51990135656024,보통
11200,성동구,324616.19,339493.29727138847,-4.4,45.6,86.90538966756097,보통
11215,광진구,363765.18,382500.4410259467,-4.9,45.1,88.12583416696836,보통
11230,동대문구,297624.51,318041.0121086957,-6.4,43.6,87.84253297056578,보통
11260,중랑구,263446.96,268470.5335280505,-1.9,48.1,83.17578213441553,보통
11290,성북구,335498.59,355862.2035098177,-5.7,44.3,82.6843869739129,보통
11305,강북구,221874.09,222711.5709842216,-0.4,49.6,78.12253717704895,보통
11320,도봉구,212382.45,219623.62372370268,-3.3,46.7,79.20393139142816,보통
11350,노원구,436379.63,446602.0499295232,-2.3,47.7,81.37719573523864,보통
11380,은평구,264019.36,266054.1098958626,-0.8,49.2,77.42090373167464,보통
11410,서대문구,359691.51,382039.0599088359,-5.8,44.2,87.54023792279298,보통
11440,마포구,536055.48,564137.1110925666,-5.0,45.0,88.75303498397933,보통
11470,양천구,266057.82,269087.4271023843,-1.1,48.9,84.0227341170676,보통
11500,강서구,449755.53,467427.6256065919,-3.8,46.2,79.88604187232046,보통
11530,구로구,358959.31,369004.4074386396,-2.7,47.3,85.95912064748859,보통
11545,금천구,155792.31,158055.61169424967,-1.4,48.6,81.07959305135479,보통
11560,영등포구,538283.79,564985.2854207574,-4.7,45.3,88.47052417365542,보통
11590,동작구,312898.93,332647.6298986676,-5.9,44.1,86.78141178668511,보통
11620,관악구,382768.04,393952.25039761566,-2.8,47.2,82.03156800569069,보통
11650,서초구,765579.08,799269.9333625524,-4.2,45.8,84.85802918254846,보통
11680,강남구,1067396.73,1100615.0821970548,-3.0,47.0,91.0075980515193,보통
11710,송파구,727300.11,741807.7179989482,-2.0,48.0,88.2099034589928,보통
11740,강동구,391841.09,391689.2594218093,0.0,50.0,84.58651658495002,보통
26110,중구,174281.91,151831.04809396915,14.8,64.8,100.0,혼잡
26140,서구,117613.94,109497.59166199158,7.4,57.4,76.62287721749783,보통
26170,동구,172634.42,151470.22443934082,14.0,64.0,85.385326796626,혼잡
26200,영도구,122981.46,114926.8911441094,7.0,57.0,76.77052923205986,보통
26230,부산진구,444410.48,406279.99926998594,9.4,59.4,83.77598691234634,보통
26260,동래구,271141.33,245710.207875526,10.4,60.4,84.81999860766646,혼잡
26290,남구,229141.5,219767.25107047684,4.3,54.3,76.78049941277875,보통
26320,북구,234599.29,218486.7764596774,7.4,57.4,72.47327931131278,보통
26350,해운대구,467102.93,434651.9266374474,7.5,57.5,77.51674582294673,보통
26380,사하구,223557.23,210204.3918415148,6.4,56.4,69.71649787961556,보통
26410,금정구,204044.64,196055.8954028752,4.1,54.1,64.65213950626298,보통
26440,강서구,208416.57,209044.0321686536,-0.3,49.7,52.25240149738036,보통
26470,연제구,173331.06,157398.78816409537,10.1,60.1,83.22799606020027,혼잡
26500,수영구,221652.16,203385.567402174,9.0,59.0,88.1788752857231,보통
26530,사상구,174031.73,165640.43439095368,5.1,55.1,69.96412248833575,보통
26710,기장군,228086.93,215654.49526858344,5.8,55.8,51.304071571423634,보통
27110,중구,294629.34,259747.41306346425,13.4,63.4,96.32144035706804,혼잡
27140,동구,384981.26,358992.27879453014,7.2,57.2,59.99525228472214,보통
27170,서구,130560.83,120025.74333485274,8.8,58.8,75.38374725249074,보통
27200,남구,148171.23,135975.39774158486,9.0,59.0,76.65151334056789,보통
27230,북구,398807.49,384861.0406753156,3.6,53.6,68.48381134345036,보통
27260,수성구,398664.29,370945.66518408136,7.5,57.5,70.90049525464683,보통
27290,달서구,471824.6,445855.3247759467,5.8,55.8,75.45711769840983,보통
27710,달성군,196418.95,193262.02135834505,1.6,51.6,41.51948018499343,보통
27720,군위군,29157.55,31161.53993828892,-6.4,43.6,13.981925939417875,보통
28110,중구,434176.14,449668.4314782608,-3.4,46.6,63.908804215930246,보통
28140,동구,43801.54,46875.37888744741,-6.6,43.4,72.92992641128284,보통
28177,미추홀구,312986.97,311469.68249438994,0.5,50.5,81.65238344548978,보통
28185,연수구,341228.62,359680.87490147265,-5.1,44.9,71.38767912461468,보통
28200,남동구,361514.57,365206.31218863954,-1.0,49.0,73.2185430163458,보통
28237,부평구,354222.21,353448.51503681624,0.2,50.2,80.0874701460209,보통
28245,계양구,196550.53,204259.0483537868,-3.8,46.2,68.66039594944607,보통
28260,서구,478203.82,489751.5380357644,-2.4,47.6,66.46448869343475,보통
28710,강화군,79811.41,92078.94219810658,-13.3,36.7,30.86668443074864,여유
28720,옹진군,22968.94,28075.11521458625,-18.2,31.8,25.499909344149373,여유
29110,동구,165473.1,156610.31499824685,5.7,55.7,65.73661146722894,보통
29140,서구,346705.04,323329.5205894109,7.2,57.2,75.05280684556793,보통
29155,남구,125491.07,114574.82875140251,9.5,59.5,59.71927939466421,보통
29170,북구,389234.59,372902.0755308555,4.4,54.4,65.23497689576273,보통
29200,광산구,375100.28,357518.8064761571,4.9,54.9,57.234911235959885,보통
30110,동구,205669.35,205067.1213671108,0.3,50.3,55.78280308052796,보통
30140,중구,257417.62,243874.117477209,5.6,55.6,68.16969630265648,보통
30170,서구,454472.05,430046.2852251052,5.7,55.7,69.85914832411449,보통
30200,유성구,389536.46,401123.8114158485,-2.9,47.1,60.52294554146806,보통
30230,대덕구,148225.71,149795.41725596075,-1.0,49.0,60.14013397191425,보통
31110,중구,177096.78,169259.24628366058,4.6,54.6,69.92814855629045,보통
31140,남구,354021.2,328545.7188341515,7.8,57.8,69.82545464496515,보통
31170,동구,125384.62,124421.03874789622,0.8,50.8,65.81655357763852,보통
31200,북구,185735.42,187390.8161125526,-0.9,49.1,52.81816251546025,보통
31710,울주군,235462.16,231812.0511300841,1.6,51.6,36.64469111809696,보통
36110,세종특별자치시,285612.81,290862.6435669706,-1.8,48.2,44.91923966666776,보통
41110,수원시,1077820.32,1073355.9679375875,0.4,50.4,77.4782958071762,보통
41111,수원시 장안구,265052.74,263111.1507640252,0.7,50.7,76.09876912883364,보통
41113,수원시 권선구,272075.53,270317.03798036464,0.7,50.7,72.19520481589416,보통
41115,수원시 팔달구,321572.65,312762.99858941097,2.8,52.8,90.05165808236588,보통
41117,수원시 영통구,326816.85,330801.0164312763,-1.2,48.8,80.90811035341252,보통
41130,성남시,888621.39,913560.5664582748,-2.7,47.3,73.22720517899687,보통
41131,성남시 수정구,221082.05,227613.3792987377,-2.9,47.1,70.16365976856463,보통
41133,성남시 중원구,139757.1,143113.39795862552,-2.3,47.7,71.14189508036515,보통
41135,성남시 분당구,563222.83,577648.6336290323,-2.5,47.5,76.27730900090677,보통
41150,의정부시,347896.0,351408.68247124826,-1.0,49.0,68.47741335511598,보통
41170,안양시,453781.07,460643.67965778406,-1.5,48.5,75.79608244367593,보통
41171,안양시 만안구,179787.74,186956.8835073633,-3.8,46.2,70.25457365830218,보통
41173,안양시 동안구,283207.27,282795.2788292426,0.1,50.1,81.98323019747004,보통
41190,부천시,677445.41,671746.1723138149,0.8,50.8,81.74876250216417,보통
41192,부천시 원미구,426599.89,418174.7393106592,2.0,52.0,87.74715234665487,보통
41194,부천시 소사구,174547.1,173192.43227629733,0.8,50.8,82.58797669319641,보통
41196,부천시 오정구,109644.95,112810.26076507714,-2.8,47.2,71.52528919430016,보통
41210,광명시,231606.53,238378.8290715288,-2.8,47.2,72.68780225236311,보통
