SIGUNGU_CD,SIGUNGU_NM,AREA_KM2
11010,종로구,23.97284080264516
11020,중구,9.982468738228595
11030,용산구,21.876323365719745
11040,성동구,16.80449330166797
11050,광진구,17.035931189412523
11060,동대문구,14.266370424314573
11070,중랑구,18.523177337016314
11080,성북구,24.56022195550145
11090,강북구,23.620588370151157
11100,도봉구,20.689383824578883
11110,노원구,35.563991345823275
11120,은평구,29.773890352542583
11130,서대문구,17.674706412375222
11140,마포구,23.84481825473183
11150,양천구,17.45029512300529
11160,강서구,41.42725681890698
11170,구로구,20.083360769874805
11180,금천구,13.010750033827087
11190,영등포구,24.505717743287395
11200,동작구,16.363617333109804
11210,관악구,29.56322016269854
11220,서초구,46.8853311605049
11230,강남구,39.45777777461134
11240,송파구,33.826824397377095
11250,강동구,24.53786764192307
21010,중구,3.0794645301676526
21020,서구,14.161564884297087
21030,동구,10.12453877142432
21040,영도구,14.629440868799742
21050,부산진구,29.7445950216261
21060,동래구,16.657066135554363
21070,남구,27.235563168254558
21080,북구,39.71292210146402
21090,해운대구,52.26311447834078
21100,사하구,47.455950775674566
21110,금정구,65.64731869628963
21120,강서구,185.6592834211718
21130,연제구,12.134926500101022
21140,수영구,10.335363052684194
21150,사상구,36.199354361377424
21510,기장군,219.64621443714273
22010,중구,7.041103872356555
22020,동구,181.5568300801813
22030,서구,17.40385390841466
22040,남구,17.79898941568598
22050,북구,93.67417063820706
22060,수성구,76.78771262425923
22070,달서구,62.516856560642886
22510,달성군,422.80414741765924
22520,군위군,613.0735403780014
23010,중구,148.4793806971205
23020,동구,7.141879888008838
23040,연수구,63.14786303844864
23050,남동구,57.56496494061964
23060,부평구,32.092530367479846
23070,계양구,45.502382013152854
23080,서구,132.57938976470993
23090,미추홀구,24.937973735759524
23510,강화군,413.13990509256615
23520,옹진군,185.2433719436896
24010,동구,48.70194645190385
24020,서구,47.488906246525566
24030,남구,60.53810725753399
24040,북구,119.37648454102846
24050,광산구,221.91032897601366
25010,동구,137.08795484022724
25020,중구,62.04339571482719
25030,서구,95.35042533956845
25040,유성구,175.91399133792933
25050,대덕구,69.07631265153407
26010,중구,36.94585958637725
26020,남구,74.481110551792
26030,동구,36.661686889630076
26040,북구,157.94011559765946
26510,울주군,757.044600530122
29010,세종시,464.8425772137552
31011,수원시 장안구,33.317413987707
31012,수원시 권선구,47.12046576554206
31013,수원시 팔달구,12.85778150589845
31014,수원시 영통구,27.68054003803962
31021,성남시 수정구,45.238789924538935
31022,성남시 중원구,26.39069504671048
31023,성남시 분당구,69.76756558713399
31030,의정부시,81.7587278201867
31041,안양시 만안구,36.515383478205194
31042,안양시 동안구,21.960580884456036
31051,부천시 원미구,20.609430263133902
31052,부천시 소사구,12.87927645928601
31053,부천시 오정구,20.062968743619773
31060,광명시,38.52183895998646
31070,평택시,459.1375177877208
31080,동두천시,95.84716524380516
31091,안산시 상록구,58.35186727445162
31092,안산시 단원구,114.39547359664411
31101,고양시 덕양구,165.14620914507134
31103,고양시 일산동구,59.94187210558723
31104,고양시 일산서구,41.29284603034657
31110,과천시,35.82075589503451
31120,구리시,33.16806763352157
31130,남양주시,459.32413922265215
31140,오산시,42.63017199853311
31150,시흥시,141.53616174315636
31160,군포시,36.37696714288568
31170,의왕시,53.86315929375728
31180,하남시,92.76157270482739
31191,용인시 처인구,467.49733955926143
31192,용인시 기흥구,81.69763070599596
31193,용인시 수지구,42.10708447388676
31200,파주시,688.7715099445438
31210,이천시,461.5017222332758
31220,안성시,552.8972441178863
31230,김포시,280.82891086638733
31240,화성시,794.94320673876
31250,광주시,429.6477255064436
31260,양주시,310.2504874743375
31270,포천시,825.1579633988365
31280,여주시,606.8707882714343
31550,연천군,696.3817790512982
31570,가평군,840.070586994449
31580,양평군,876.0891832926138
32010,춘천시,1114.6287521053143
32020,원주시,866.2750720222953
32030,강릉시,1040.5488003940488
32040,동해시,181.32563482183
32050,태백시,303.21884368769287
32060,속초시,105.83947457760684
32070,삼척시,1188.379079690273
32510,홍천군,1816.1590433522404
32520,횡성군,997.1237383900673
32530,영월군,1125.9782544969094
32540,평창군,1462.766071367209
32550,정선군,1218.5678597683036
32560,철원군,889.7014604186213
32570,화천군,906.8448369940093
32580,양구군,660.7619223071404
32590,인제군,1639.8395381873192
32600,고성군,661.2034323368048
32610,양양군,630.8719979585784
33020,충주시,980.8176931413535
33030,제천시,881.9904010368086
33041,청주시 상당구,403.02896372062366
33042,청주시 서원구,122.98132126960371
33043,청주시 흥덕구,198.61935140677315
33044,청주시 청원구,214.63258690037358
33520,보은군,583.2039020903073
33530,옥천군,541.2288930770738
33540,영동군,852.0128441818135
33550,진천군,407.80867942651963
33560,괴산군,841.3876476760087
33570,음성군,519.0194007582393
33580,단양군,779.8360639658656
33590,증평군,81.82914663808897
34011,천안시 동남구,438.28598672231647
34012,천안시 서북구,197.91507224830593
34020,공주시,863.169636738703
34030,보령시,584.1072426832461
34040,아산시,542.8357238636736
34050,서산시,744.2615321205717
34060,논산시,553.4665565951562
34070,계룡시,60.761924281029756
34080,당진시,709.6187508240088
34510,금산군,576.2063048566941
34530,부여군,624.0813113992059
34540,서천군,367.6623864805246
34550,청양군,479.35364481826105
34560,홍성군,443.5190729564031
34570,예산군,543.1353433062599
34580,태안군,536.3107162381339
35011,전주시 완산구,92.13787041422111
35012,전주시 덕진구,113.14455113111353
35020,군산시,417.86075463147336
35030,익산시,507.0328446542964
35040,정읍시,697.1239421935263
35050,남원시,749.6813876287423
35060,김제시,546.1554604431844
35510,완주군,821.49623582308
35520,진안군,788.3964912610671
35530,무주군,629.5283530465746
35540,장수군,531.7101019984078
35550,임실군,596.1390524623237
35560,순창군,499.3927835712431
35570,고창군,612.0106310120977
35580,부안군,540.422610830976
36010,목포시,54.11585831572042
36020,여수시,528.638950070747
36030,순천시,910.8834870617991
36040,나주시,605.3904621783358
36060,광양시,470.49354767274684
36510,담양군,453.17731642900776
36520,곡성군,547.8972258872428
36530,구례군,439.26387714751144
36550,고흥군,814.8405111692867
36560,보성군,665.8537495319995
36570,화순군,787.5497882943707
36580,장흥군,621.9894501734638
36590,강진군,501.4618730620546
36600,해남군,1047.4909609302986
36610,영암군,611.2174135513061
36620,무안군,456.66797294144783
36630,함평군,389.67393768613033
36640,영광군,480.0781966084737
36650,장성군,517.6834479897057
36660,완도군,408.5308234227514
36670,진도군,451.67007182554585
36680,신안군,678.906455743795
37011,포항시 남구,396.40297480313416
37012,포항시 북구,736.8351713474367
37020,경주시,1320.0987502322278
37030,김천시,1004.5666846893561
37040,안동시,1526.735136884247
37050,구미시,613.2591441891927
37060,영주시,672.5376108188168
37070,영천시,915.0595840749065
37080,상주시,1251.569597915299
37090,문경시,913.9264869270481
37100,경산시,410.80612861815735
37520,의성군,1169.3034218274834
37530,청송군,846.7121234411655
37540,영양군,819.1373462466637
37550,영덕군,744.5257213437652
37560,청도군,692.9165975187253
37570,고령군,386.44307410844607
37580,성주군,612.5076277475622
37590,칠곡군,450.0337505985062
37600,예천군,664.1903438434327
37610,봉화군,1200.9518929224546
37620,울진군,994.4484916717488
37630,울릉군,73.87348155301865
38030,진주시,712.399685317458
38050,통영시,249.12058036778384
38060,사천시,401.85934177089223
38070,김해시,461.67287153255825
38080,밀양시,801.056396853714
38090,거제시,409.8107942307469
38100,양산시,486.47002541353214
38111,창원시 의창구,204.0762869062964
38112,창원시 성산구,89.05808367603022
38113,창원시 마산합포구,242.92402075431988
38114,창원시 마산회원구,90.8489621328207
38115,창원시 진해구,127.5110868940651
38510,의령군,481.4074433534177
38520,함안군,415.51490054487766
38530,창녕군,529.8522781211391
38540,고성군,519.9587255018411
38550,남해군,362.6658077726846
38560,하동군,676.4966114004282
38570,산청군,791.3748175209049
38580,함양군,720.434429465916
38590,거창군,798.8921051893863
38600,합천군,983.073225956498
39010,제주시,983.8336616400353
39020,서귀포시,881.2152040774907
