contentId,title,address,contentTypeId,lDongRegnCd,lDongSignguCd,regionName,lclsSystm1,lclsSystm2,lclsSystm3,modifiedTime,latitude,longitude
"809372","백사실계곡","서울특별시 종로구 부암동 115","12","11","110","서울특별시 종로구","NA","NA01","NA010400","20260225110605",37.6004286814137,126.966332776788
"2993160","백악마루","서울특별시 종로구 부암동 30","12","11","110","서울특별시 종로구","NA","NA01","NA010100","20260805170444",37.5938949836,126.9694968905
"2481866","백인제가옥","서울특별시 종로구 북촌로7길 16 (가회동)","12","11","110","서울특별시 종로구","HS","HS01","HS010400","20251024095741",37.5804693948,126.9841423343
"605497","보성사터","서울특별시 종로구 우정국로 55 (견지동)","12","11","110","서울특별시 종로구","HS","HS01","HS011100","20251023143000",37.5739784579,126.9827509785
"126516","보신각터","서울특별시 종로구 종로 54","12","11","110","서울특별시 종로구","HS","HS01","HS010700","20251201163706",37.5698150675,126.9835760212
"1367251","부암동","서울특별시 종로구 창의문로 145","12","11","110","서울특별시 종로구","VE","VE04","VE040200","20251204134124",37.5924870824,126.9640854894
"809190","북악산","서울특별시 종로구 청운동","12","11","110","서울특별시 종로구","NA","NA01","NA010100","20251231090831",37.5931538442,126.9737151476
"129500","북악산 숙정문","서울특별시 종로구 삼청동","12","11","110","서울특별시 종로구","HS","HS01","HS010300","20250318205923",37.5955536984,126.9811144048
"126943","북악스카이 팔각정","서울특별시 종로구 북악산로 267 (평창동)","12","11","110","서울특별시 종로구","VE","VE03","VE030100","20250425143725",37.6020279351,126.9805642714
"1100498","북촌 8경","서울특별시 종로구 계동길 37 (계동)","12","11","110","서울특별시 종로구","HS","HS01","HS010600","20260619093209",37.579088327,126.9862761098
"130903","북촌문화센터","서울특별시 종로구 계동길 37 (계동)","12","11","110","서울특별시 종로구","VE","VE12","VE120300","20250403100630",37.5790529392,126.9867060298
"3056278","북촌전망대","서울특별시 종로구 북촌로11다길 22-3 (삼청동)","12","11","110","서울특별시 종로구","VE","VE01","VE010200","20260401094625",37.58307943989928,126.9827849420813
"2993183","북촌전통공예체험관","서울특별시 종로구 북촌로12길 24-5 (가회동)","12","11","110","서울특별시 종로구","EX","EX02","EX020400","20260807115638",37.5824192345,126.9861116997
"3085314","북촌전통발효공방 빚담","서울특별시 종로구 북촌로12길 5-12 (가회동)","12","11","110","서울특별시 종로구","EX","EX01","EX010100","20260406094239",37.58234945091659,126.98550113350133
"126537","북촌한옥마을","서울특별시 종로구 계동길 37 (계동)","12","11","110","서울특별시 종로구","HS","HS01","HS010600","20251121163955",37.5790529392,126.9867060298
"2946075","북촌한옥마을 감고당길","서울특별시 종로구 송현동","12","11","110","서울특별시 종로구","VE","VE04","VE040100","20251118092201",37.5779529898,126.9824147854
