SIGUNGU_CD,SIGUNGU_NM,CURRENT_VISITOR,NORMAL_VISITOR,NORMAL_COMPARE,CONGESTION_SCORE,ABSOLUTE_SCORE,CONGESTION_LEVEL,AREA_KM2,CURRENT_DENSITY,NORMAL_DENSITY,DENSITY_SCORE
11110,종로구,465896.23,522001.4532531557,-10.7,39.3,42.8,여유,23.97284080264516,19434.335456338285,21774.701527887264,86.97901757787359
11140,중구,500280.32,559315.4871420057,-10.6,39.4,46.0,여유,9.982468738228595,50115.8914812465,56029.77598117248,98.51889891373587
11170,용산구,409426.42,448983.8543979664,-8.8,41.2,37.6,보통,21.876323365719745,18715.504116270848,20523.73458245389,86.51990135656024
11200,성동구,324616.19,339493.29727138847,-4.4,45.6,29.6,보통,16.80449330166797,19317.225706994654,20202.53102410956,86.90538966756097
11215,광진구,363765.18,382500.4410259467,-4.9,45.1,33.3,보통,17.035931189412523,21352.82045668701,22452.570204302232,88.12583416696836
11230,동대문구,297624.51,318041.0121086957,-6.4,43.6,27.1,보통,14.266370424314571,20861.964266170344,22293.05721423366,87.84253297056578
11260,중랑구,263446.96,268470.5335280505,-1.9,48.1,23.9,보통,18.52317733701632,14222.557782974593,14493.762524831243,83.17578213441553
11290,성북구,335498.59,355862.2035098177,-5.7,44.3,30.7,보통,24.56022195550145,13660.242590961148,14489.372455777222,82.6843869739129
11305,강북구,221874.09,222711.5709842216,-0.4,49.6,20.0,보통,23.62058837015116,9393.249927693489,9428.705479058155,78.12253717704895
11320,도봉구,212382.45,219623.62372370268,-3.3,46.7,19.2,보통,20.689383824578883,10265.286380722984,10615.281034266034,79.20393139142816
11350,노원구,436379.63,446602.0499295232,-2.3,47.7,40.1,보통,35.563991345823275,12270.265892167628,12557.703256273378,81.37719573523864
11380,은평구,264019.36,266054.1098958626,-0.8,49.2,24.0,보통,29.773890352542583,8867.479421527918,8935.819496397873,77.42090373167464
11410,서대문구,359691.51,382039.0599088359,-5.8,44.2,32.9,보통,17.674706412375222,20350.635626295687,21615.015887412155,87.54023792279298
11440,마포구,536055.48,564137.1110925666,-5.0,45.0,49.4,보통,23.84481825473183,22481.00506673493,23658.687814935125,88.75303498397933
11470,양천구,266057.82,269087.4271023843,-1.1,48.9,24.2,보통,17.45029512300529,15246.60861748105,15420.22213410234,84.0227341170676
11500,강서구,449755.53,467427.6256065919,-3.8,46.2,41.3,보통,41.42725681890698,10856.512463908452,11283.09382515674,79.88604187232046
11530,구로구,358959.31,369004.4074386396,-2.7,47.3,32.8,보통,20.083360769874805,17873.46819654018,18373.63834006055,85.95912064748859
11545,금천구,155792.31,158055.61169424967,-1.4,48.6,13.9,보통,13.010750033827089,11974.122137075135,12148.07841848591,81.07959305135479
11560,영등포구,538283.79,564985.2854207574,-4.7,45.3,49.6,보통,24.505717743287395,21965.64065737053,23055.24332481623,88.47052417365542
11590,동작구,312898.93,332647.6298986676,-5.9,44.1,28.5,보통,16.363617333109804,19121.62351577892,20328.4899131438,86.78141178668511
